School,ID,Diploma_Honors,Diploma_Core40,Diploma_General,Waiver_Yes,Waiver_No,AP_Passed,AP_NotPassed,AP_NotTaken,DualCredit_Yes,DualCredit_No,21Century_Yes,21Century_No,LunchFR_Yes,LunchFR_No,Race_White,Race_Black,Race_Hispanic,Race_Asian,Race_Other
KoutsMiddleHighSchool,6833,18,27,14,2,57,10,11,38,38,21,1,58,11,48,48,0,6,2,3
LaCrosseSchool,4692,4,16,5,1,24,0,0,25,13,12,1,24,9,16,23,0,1,0,1
LakeCentralHighSchool,3833,270,405,61,21,715,211,85,440,388,348,,702,110,626,529,39,109,21,38
LakelandChristianAcademy,B595,11,0,5,1,15,0,0,16,0,16,3,13,0,16,14,1,0,0,1
LakelandHighSchool,3730,31,102,17,13,137,2,17,131,94,56,,120,51,99,121,0,25,0,4
LanesvilleJrSrHighSchool,2613,23,22,2,0,47,17,12,18,46,1,2,45,4,43,43,0,0,0,4
LapelSrHighSchool,5011,36,52,21,6,103,1,26,82,52,57,,96,31,78,105,1,0,0,3
LaPorteHighSchool,4741,132,210,78,60,360,48,41,331,242,178,,377,142,278,324,7,59,5,25
LaVilleJrSrHighSchool,7399,29,44,8,4,77,5,7,69,47,34,,70,31,50,75,0,3,0,3
LawrenceCentralHighSchool,5275,119,276,108,74,429,95,74,334,200,303,,405,262,241,172,233,52,8,38
LawrenceNorthHighSchool,5276,194,251,71,54,462,115,114,287,205,311,,418,213,303,206,200,66,10,34
LawrenceburgHighSchool,1177,62,55,21,8,130,9,2,127,120,18,,123,33,105,122,4,3,1,8
LebanonSeniorHighSchool,0553,73,99,41,10,203,34,42,137,128,85,,196,59,154,194,1,11,2,5
LeoJuniorSeniorHighSchool,0049,76,124,32,4,228,41,60,131,87,145,,213,27,205,202,11,9,5,5
LewWallaceSciTechEngMath,4029,,,,,,,,,,,,,,,,,,,
LewisCassJrSrHighSchool,0689,28,55,21,1,103,16,27,61,61,43,,93,26,78,98,0,3,1,2
LibertyChristianSchool,C225,15,16,0,0,31,0,1,30,1,30,2,29,0,31,29,2,0,0,0
LighthouseChristianAcademy,C927,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
LincolnHighSchool,3553,50,83,55,23,165,6,16,166,81,107,,144,86,102,177,3,1,1,6
LincolnSrHighSch,8961,20,27,14,8,53,1,22,38,44,17,,43,28,33,60,0,1,0,0
LintonStocktonHighSchool,2437,13,32,32,0,77,5,10,62,38,39,5,72,16,61,75,0,1,0,1
LogansportCommunityHighSchool,0701,60,166,33,21,238,24,37,198,180,79,,217,107,152,169,5,76,5,4
LoogooteeHighSchool,6003,28,46,6,8,72,0,0,80,59,21,,55,25,55,77,0,0,0,3
LowellSeniorHighSchool,3865,111,152,32,16,279,49,60,186,230,65,,278,49,246,260,4,26,0,5
LutheranHighSchool,C270,30,33,2,2,63,21,10,34,21,44,5,60,0,65,58,0,1,4,2
MaconaquahHighSchool,6032,27,76,19,14,108,3,21,98,50,72,,91,44,78,107,1,5,2,7
MadisonConsolidatedHighSchool,3309,87,126,33,21,225,42,34,170,165,81,,211,80,166,231,4,5,0,6
MadisonGrantHighSchool,2321,37,42,10,6,83,8,17,64,65,24,,70,34,55,86,0,1,0,2
ManchesterJrSrHighSchool,8625,34,33,29,7,89,18,22,56,59,37,,80,40,56,88,0,3,0,5
MarianHighSchool,D165,100,79,0,1,178,49,45,85,122,57,,160,37,142,141,10,17,6,5
MarionHighSchool,2351,70,154,32,42,214,31,40,185,186,70,,172,133,123,151,45,16,8,36
MarquetteCatholicHighSchool,C125,25,24,0,3,46,5,4,40,30,19,4,45,12,37,32,5,1,9,2
MartinsvilleHighSchool,6329,88,172,68,21,307,84,21,223,185,143,,265,112,216,311,0,10,1,6
MaterDeiHighSchool,D530,70,34,3,1,106,21,33,53,99,8,6,101,8,99,104,0,0,0,3
McCutcheonHighSchool,8003,123,196,65,35,349,32,52,300,251,133,,340,106,278,312,15,36,2,19
McLeanEducationCenterAlt,8612,0,5,18,6,17,0,0,23,5,18,1,22,15,8,19,1,0,0,3
MedoraJrSrHighSchool,3093,2,5,13,4,16,0,0,20,10,10,,9,13,7,19,0,0,0,1
MerrillvilleHighSchool,3809,100,300,103,32,471,46,86,371,164,339,,444,249,254,81,286,102,6,28
MichiganCityHighSchool,4795,89,203,42,37,297,29,44,261,162,172,,293,179,155,189,96,29,3,17
MidwestElitePrepAcadInc,B747,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
MilanHighSchool,7205,35,54,11,11,89,8,39,53,76,24,,83,23,77,98,1,1,0,0
MishawakaHighSchool,7461,68,196,59,34,289,24,27,272,160,163,,269,166,157,281,15,13,0,14
MississinewaHighSchool,2333,52,107,11,17,153,26,51,93,32,138,,117,82,88,160,1,3,1,5
MitchellHighSchool,4925,38,31,50,12,107,12,30,77,63,56,,101,34,85,115,0,0,1,3
MonroeCentralJrSrHighSch,7151,20,50,13,4,79,0,4,79,55,28,,54,41,42,72,3,2,0,6
MonroviaHighSchool,6321,24,42,16,5,77,17,27,38,5,77,8,74,20,62,78,0,3,0,1
MooresvilleHighSchool,6369,90,159,32,26,255,16,25,240,162,119,,251,70,211,274,1,2,2,2
MorganTownshipMiddleHighSchool,6825,32,23,0,0,55,7,10,38,44,11,5,50,2,53,48,0,3,0,4
MorristownJrSrHighSchool,7661,23,17,3,1,42,4,22,17,7,36,,33,8,35,42,0,1,0,0
MortonSeniorHighSchool,4417,41,217,24,40,242,33,74,175,64,218,,233,192,90,89,91,94,0,8
MountVernonHighSchool,6949,47,71,52,22,148,11,25,134,79,91,,154,44,126,151,5,2,0,12
MtVernonHighSchool,2569,96,145,15,8,248,60,64,132,68,188,,233,53,203,217,15,10,3,11
MTISchoolofKnowledge,C628,***,***,***,***,***,***,***,***,***,***,,***,***,***,***,***,***,***,***
MuncieCentralHighSchool,1421,78,128,80,25,261,40,82,164,150,136,,187,159,127,193,51,8,3,31
MuncieSouthsideHighSchool,1424,,,,,,,,,,,,,,,,,,,
MunsterHighSchool,4332,210,139,32,5,376,188,56,137,205,176,8,373,54,327,256,19,63,30,13
NeighborsNewVistasHighSchool,6864,0,32,19,0,51,0,0,51,2,49,4,47,28,23,30,8,10,0,3
NewAlbanySeniorHighSchool,1925,133,271,40,76,368,75,110,259,296,148,,362,208,236,322,53,18,9,42
NewCastleHighSchool,2825,57,134,51,33,209,39,46,157,118,124,,186,108,134,216,0,9,0,17
NewHavenHighSchool,0297,60,100,39,26,173,3,38,158,89,110,,164,88,111,118,48,10,11,12
NewPalestineHighSchool,2565,113,127,6,2,244,48,58,140,166,80,,227,30,216,234,0,5,1,6
NewPrairieHighSchool,4689,71,123,24,10,208,56,53,109,90,128,,191,60,158,201,1,8,1,7
NewTechInstitute,8326,10,41,3,4,50,1,0,53,40,14,8,46,25,29,45,4,1,1,3
NewWashingtonMiddleHighSchool,0809,20,38,9,5,62,1,0,66,43,24,,56,27,40,66,0,1,0,0
NexusAcademyofIndianapolis,5302,1,27,0,3,25,1,2,25,5,23,4,24,11,17,16,8,2,0,2
NoblesvilleHighSchool,2517,252,321,34,29,578,160,50,397,420,187,,566,111,496,537,16,30,11,13
NorthCentralHighSchool,7917,23,24,20,2,65,2,19,46,44,23,,51,25,42,65,0,0,0,2
NorthCentralHighSchool,5451,293,309,137,72,667,178,131,430,326,413,,637,298,441,317,280,73,24,45
NorthDaviessJrSrHighSchool,1121,20,37,8,3,62,0,0,65,8,57,7,58,21,44,64,0,0,0,1
NorthDecaturJrSrHighSchool,1267,33,42,8,13,70,9,27,47,81,2,,63,24,59,80,0,2,0,1
NorthHarrisonHighSchool,2629,44,78,33,8,147,1,35,119,101,54,,131,48,107,149,0,4,1,1
NorthHighSchool,8253,117,130,66,32,281,68,55,190,202,111,,272,95,218,268,19,5,9,12
NorthJudsonSanPierreHighSch,7849,14,57,32,15,88,2,3,98,28,75,,78,40,63,94,0,8,0,1
NorthKnoxJrSrHighSchool,3537,38,30,32,9,91,5,7,88,58,42,,84,34,66,98,1,1,0,0
NorthMiamiMiddleHighSchool,6049,19,31,19,2,67,2,4,63,53,16,,59,22,47,63,0,2,0,4
NorthMontgomeryHighSchool,6271,60,71,15,10,136,22,34,90,97,49,,119,37,109,139,1,3,0,3
NorthNewtonJrSrHighSch,6411,30,72,8,3,107,7,24,79,52,58,,99,40,70,96,0,12,0,2
NorthSideHighSchool,0101,75,261,5,41,300,21,84,236,179,162,,264,230,111,183,80,33,36,9
NorthVermillionHighSchool,8394,14,15,12,10,31,4,12,25,24,17,7,34,14,27,40,0,0,0,1
NorthWoodHighSchool,1737,77,77,21,9,166,14,14,147,106,69,,137,44,131,153,3,12,3,4
