School,ID,Ball State University,Indiana State University,University of Southern Indiana,IU-Bloomington,IU-East,IU-Kokomo,IU-Northwest,IU-Purdue University-Indianapolis,IU-South Bend,IU-Southeast,IU-Purdue University-Fort Wayne,PU-Calumet Campus,PU-North Central Campus,PU-Polytechnic Statewide,PU-West Lafayette,Ivy Tech Community College,Vincennes University
MunsterHighSchool,4332,14,6,0,62,0,0,21,11,0,0,0,48,0,0,36,18,1
NeighborsNewVistasHighSchool,6864,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
NewAlbanySeniorHighSchool,1925,6,8,2,11,0,0,0,17,0,75,0,0,0,0,11,40,7
NewCastleHighSchool,2825,14,2,0,6,12,0,0,11,0,0,1,0,1,1,7,45,6
NewHavenHighSchool,0297,4,0,0,8,0,0,0,4,0,0,33,0,0,0,3,40,2
NewPalestineHighSchool,2565,19,15,6,18,0,0,0,28,0,4,1,0,0,1,10,38,2
NewPrairieHighSchool,4689,7,2,0,8,0,0,0,2,33,0,3,0,21,0,10,10,0
NewTechInstitute,8326,0,2,13,0,0,0,0,2,0,0,0,0,0,0,1,8,6
NewWashingtonMiddleHighSchool,0809,0,0,3,0,0,0,0,0,0,8,0,0,0,1,6,8,0
NexusAcademyofIndianapolis,5302,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9,0
NoblesvilleHighSchool,2517,62,14,12,52,0,3,0,42,1,0,5,0,0,1,41,102,7
NorthCentralHighSchool,7917,3,3,3,0,0,0,0,8,0,0,0,0,0,0,5,10,7
NorthCentralHighSchool,5451,38,26,3,128,0,1,0,40,0,0,1,1,2,1,39,83,25
NorthDaviessJrSrHighSchool,1121,0,3,7,0,0,0,0,3,0,0,0,0,0,0,0,1,22
NorthDecaturJrSrHighSchool,1267,3,8,1,1,0,0,0,11,0,0,0,0,0,0,5,8,1
NorthHarrisonHighSchool,2629,1,6,5,1,0,0,0,4,0,28,0,0,0,2,2,10,2
NorthHighSchool,8253,8,2,82,18,0,0,0,9,0,1,0,0,0,0,6,32,5
NorthJudsonSanPierreHighSch,7849,1,0,0,1,0,0,0,3,1,0,0,0,15,0,1,14,1
NorthKnoxJrSrHighSchool,3537,0,2,4,1,0,0,0,4,0,0,0,0,0,0,1,1,51
NorthMiamiMiddleHighSchool,6049,2,1,0,1,0,6,0,1,0,0,1,0,0,0,4,16,2
NorthMontgomeryHighSchool,6271,2,11,1,10,0,2,0,6,0,0,0,0,0,0,6,25,4
NorthNewtonJrSrHighSch,6411,1,2,1,1,0,0,7,3,0,0,0,1,1,0,10,17,2
NorthSideHighSchool,0101,8,5,0,13,0,0,0,4,0,0,45,0,1,0,1,56,1
NorthVermillionHighSchool,8394,2,11,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1
NorthWoodHighSchool,1737,7,0,0,8,0,0,0,1,20,0,2,0,0,0,8,4,0
NortheastDuboisHighSchool,1545,3,5,11,2,0,0,0,2,0,3,0,0,0,0,1,1,18
NortheasternHighSchool,8927,11,0,0,1,16,0,0,3,0,0,2,0,0,1,2,15,2
NorthfieldJrSrHighSchool,8651,4,0,1,3,1,11,0,0,0,0,4,0,1,0,6,5,3
NorthridgeHighSchool,1733,9,1,0,13,0,0,0,15,28,0,0,0,1,0,17,30,1
NorthropHighSchool,0219,12,5,1,18,2,0,0,3,0,0,77,0,0,0,4,69,2
